ROW | EXT_1 | EXT_2 | EXT_3 | EXT_4
-----------------------------------
000 |    31 |   -17 |    23 |     2
001 |    31 |   -17 |    23 |     2
002 |   -26 |   -19 |    31 |    20
003 |   -22 |   -13 |   -12 |   -13
004 |    28 |   -17 |    12 |     0
005 |    -2 |   -32 |   -21 |   -17
006 |   -32 |   -26 |   -19 |    -4
007 |    -9 |   -13 |   -19 |     2
008 |   -22 |    19 |    -6 |    31
009 |     9 |   -32 |    21 |     6
00A |     6 |     0 |     1 |    -6
00B |     9 |   -26 |    23 |    13
00C |    20 |   -24 |    12 |   -15
00D |     4 |     0 |    -1 |    -6
00E |    22 |    24 |    14 |    15
00F |     2 |   -32 |    14 |    26
010 |   -26 |    22 |     5 |    -3
011 |    13 |    28 |   -12 |    14
012 |   -24 |    19 |     8 |     1
013 |    11 |    31 |    -1 |    -3
014 |     9 |    22 |   -12 |     1
015 |     0 |    30 |    23 |   -23
016 |   -19 |    31 |     1 |   -12
017 |   -11 |    30 |     1 |     8
018 |   -28 |    30 |    31 |    -1
019 |    22 |    30 |    21 |    -3
01A |     0 |    22 |    31 |    10
01B |     7 |    13 |     5 |    -8
01C |   -20 |    26 |    18 |     7
01D |   -20 |    -7 |     3 |    -8
01E |   -13 |    31 |     8 |   -32
01F |     4 |    17 |    11 |     1
020 |    11 |    24 |    28 |     5
021 |     7 |    15 |    17 |     1
022 |     7 |    30 |   -11 |    14
023 |    22 |    20 |    26 |     8
024 |    11 |    31 |     6 |    18
025 |     9 |    31 |    13 |     1
026 |    11 |    24 |     0 |    18
027 |     6 |    11 |    26 |    18
028 |    22 |    31 |    17 |    14
029 |     2 |    13 |     9 |    29
02A |    11 |    11 |     9 |    -1
02B |     9 |     6 |    22 |   -12
02C |     6 |    31 |    13 |    -5
02D |    20 |    -4 |    19 |    29
02E |    -7 |   -13 |     7 |     1
02F |    -2 |    -7 |    27 |    31
030 |   -26 |   -26 |   -32 |    31
031 |     0 |     0 |     3 |    -5
032 |     0 |    15 |   -19 |    23
033 |    26 |     9 |    16 |    14
034 |   -15 |    20 |     8 |    29
