ROW | DATA_1 | DATA_2
---------------------
000 |    -2 |     7
001 |     9 |    11
002 |     8 |     9
003 |   -13 |   -14
004 |    -4 |    12
005 |   -14 |     5
006 |   -16 |     5
007 |   -12 |   -16
008 |     1 |   -14
009 |     4 |     4
00A |    -7 |     3
00B |     8 |    -6
00C |    -1 |     0
00D |   -13 |    15
00E |    15 |    -2
00F |    -6 |     6
010 |    11 |     1
011 |    -4 |     8
012 |    -3 |    12
013 |   -14 |    -4
014 |    -7 |     5
015 |   -14 |    11
016 |    -3 |   -10
017 |    -3 |   -12
018 |    13 |   -12
019 |   -13 |    -6
01A |    15 |    12
01B |    -6 |    -4
01C |     9 |    -3
01D |   -10 |   -14
01E |   -15 |     9
01F |     2 |    -6
020 |    11 |     0
021 |    -7 |    -4
022 |     3 |    -5
023 |    -3 |    -5
024 |    -7 |    -2
025 |     2 |    -1
026 |     7 |     4
027 |    12 |   -13
028 |   -10 |   -10
029 |   -11 |    -7
02A |   -16 |    -6
02B |     8 |     5
02C |    -3 |     1
02D |    -4 |    15
02E |   -12 |    -8
02F |     7 |    14
030 |   -10 |     1
031 |    -8 |     9
032 |    13 |    -6
033 |     9 |    -5
034 |   -10 |     5
035 |    -5 |   -12
036 |     6 |    -8
037 |    14 |     5
038 |    -8 |    -1
039 |    -5 |   -13
03A |    -2 |   -16
03B |   -13 |   -11
03C |   -10 |   -10
03D |    -3 |    -8
03E |     6 |    -8
03F |    -4 |     9
040 |     5 |     7
041 |     8 |     8
042 |   -10 |     6
043 |   -16 |   -10
044 |     5 |    11
045 |     7 |    -6
046 |    -3 |   -14
047 |   -14 |     1
048 |     2 |     6
049 |    13 |     9
04A |    14 |    -1
04B |   -10 |    -4
04C |    -2 |     7
04D |   -10 |     1
04E |     9 |    -6
04F |   -12 |   -15
050 |    11 |   -11
051 |    12 |     7
052 |   -12 |    11
053 |     3 |   -10
054 |    -4 |     8
055 |   -12 |     6
056 |    15 |   -15
057 |   -11 |   -14
058 |     3 |     0
059 |    15 |     6
05A |   -16 |    13
05B |    11 |   -15
05C |     5 |   -14
05D |     8 |    -4
05E |   -10 |     2
05F |     1 |   -16
060 |    10 |     3
061 |    -6 |    15
062 |    12 |    -3
063 |    -4 |     5
064 |     5 |   -12
065 |   -14 |    -9
066 |    -8 |    15
067 |    12 |    -3
068 |     3 |     2
069 |    -9 |   -13
06A |     3 |     8
06B |    12 |    -1
06C |   -15 |     0
06D |     7 |   -11
06E |   -11 |    10
06F |     9 |     5
070 |    11 |     8
071 |    14 |   -11
072 |    -2 |    -4
073 |     7 |   -15
074 |    14 |   -12
075 |   -11 |    -3
076 |   -15 |    10
077 |     9 |   -15
078 |    10 |   -13
079 |   -13 |   -15
07A |    -3 |     0
07B |    -2 |    -7
07C |    12 |   -15
07D |    -9 |    -5
07E |     2 |    -7
07F |    -5 |     9
080 |   -12 |    14
081 |   -16 |    -4
082 |     9 |     9
083 |   -15 |     3
084 |    12 |     5
085 |     0 |   -12
086 |   -15 |     9
087 |   -12 |     3
088 |    10 |    12
089 |   -10 |   -10
08A |   -15 |    14
08B |    11 |     7
08C |    15 |     5
08D |   -16 |    -8
08E |    -9 |    10
08F |   -16 |   -14
090 |     6 |    15
091 |    14 |     4
092 |   -12 |     9
093 |   -16 |    -2
094 |    -3 |    -1
095 |   -14 |   -13
096 |    -6 |     0
097 |    15 |    14
098 |    -1 |    11
099 |     2 |    11
09A |    -4 |     9
09B |     4 |   -12
09C |    -7 |     1
09D |    -1 |   -16
09E |     2 |    11
09F |     0 |    -6
0A0 |     6 |     8
0A1 |    -5 |   -13
0A2 |    -5 |    11
0A3 |    -5 |   -11
0A4 |    -3 |    -1
0A5 |     0 |    -6
0A6 |   -12 |     8
0A7 |    -3 |    -3
0A8 |     8 |    -2
0A9 |     8 |    12
0AA |    -9 |     0
0AB |    -5 |    -9
0AC |     7 |    -4
0AD |    10 |    13
0AE |    -7 |    12
0AF |   -13 |   -14
0B0 |     2 |    -5
0B1 |   -14 |    14
0B2 |    13 |    14
0B3 |    10 |     0
0B4 |     5 |   -13
0B5 |    10 |   -12
0B6 |    -1 |   -14
0B7 |    -6 |   -16
0B8 |    -6 |     4
0B9 |     4 |     2
0BA |     8 |   -16
0BB |     5 |     8
0BC |   -15 |     9
0BD |    -1 |     3
0BE |    11 |     1
0BF |   -12 |    -3
0C0 |     3 |   -13
0C1 |    -1 |     3
0C2 |   -12 |    -7
0C3 |    13 |   -15
0C4 |   -16 |    -8
0C5 |    -3 |     9
0C6 |    -3 |   -10
0C7 |     1 |    -9
0C8 |    -7 |    15
0C9 |    -4 |    -5
0CA |   -15 |    15
0CB |    -2 |     9
0CC |   -14 |     3
0CD |    -7 |     5
0CE |    -7 |    -8
0CF |    -9 |    11
0D0 |    15 |     5
0D1 |    10 |   -12
0D2 |    -5 |     2
0D3 |   -15 |    -3
0D4 |    -8 |   -12
0D5 |     1 |    -5
0D6 |     9 |   -11
0D7 |    10 |    -9
0D8 |    -1 |    11
0D9 |    -1 |    -2
0DA |     3 |   -16
0DB |    10 |    -6
0DC |    -4 |     1
0DD |     3 |   -14
0DE |    12 |    15
0DF |   -10 |     9
0E0 |     9 |   -10
0E1 |    -3 |     0
0E2 |     2 |     1
0E3 |   -12 |     6
0E4 |   -15 |    13
0E5 |     4 |     0
0E6 |    13 |     5
0E7 |   -12 |   -14
0E8 |    14 |    -4
0E9 |     1 |    -8
0EA |    -3 |     8
0EB |    -6 |   -10
0EC |    10 |    -8
0ED |    -5 |    -5
0EE |   -11 |   -13
0EF |    10 |    13
0F0 |     8 |    15
0F1 |    -5 |     7
0F2 |     2 |   -11
0F3 |     5 |    14
0F4 |    -1 |    12
0F5 |    11 |     2
0F6 |     5 |     5
0F7 |    -9 |     7
0F8 |    -4 |     5
0F9 |    15 |    -8
0FA |    14 |     0
0FB |    14 |    -2
0FC |     9 |   -10
0FD |   -16 |    -4
0FE |     3 |     6
0FF |   -12 |   -12
100 |     5 |    -6
101 |    11 |     3
102 |   -15 |   -16
103 |    13 |    -5
104 |     2 |    13
105 |    10 |    -3
106 |     0 |    14
107 |   -16 |    11
108 |     0 |    -8
109 |    -2 |     0
10A |    -1 |   -12
10B |    -6 |   -13
10C |    13 |   -16
10D |    12 |    -8
10E |   -14 |     1
10F |    -8 |    10
110 |   -11 |    -9
111 |    -2 |    -7
112 |    -9 |     0
113 |    -4 |     7
114 |    15 |    13
115 |    15 |   -16
116 |   -16 |     3
117 |    -2 |   -13
118 |   -10 |     3
119 |     2 |   -16
11A |    -6 |    -7
11B |     0 |   -12
11C |   -12 |     0
11D |   -14 |    15
11E |    13 |    -3
11F |    -1 |     3
120 |    -3 |    15
121 |    -5 |   -15
122 |    10 |    -3
123 |     8 |    14
124 |     7 |     6
125 |    14 |     7
126 |   -14 |     1
127 |     8 |     8
128 |   -12 |    15
129 |     0 |    -6
12A |     4 |   -15
12B |   -14 |   -11
12C |    -8 |   -12
12D |     7 |    14
12E |    -6 |    -2
12F |    -4 |     3
130 |    10 |     1
131 |    -3 |   -10
132 |   -12 |     4
133 |    -4 |    10
134 |    11 |    -9
135 |   -10 |   -15
136 |    12 |     0
137 |     8 |     2
138 |     8 |     8
139 |    12 |    -9
13A |    -8 |    -5
13B |    12 |     0
13C |    -4 |    -8
13D |     3 |     1
13E |    10 |    -9
13F |     9 |     1
140 |   -15 |     0
141 |    -2 |    15
142 |   -11 |    10
143 |    11 |    13
144 |    14 |   -12
145 |     7 |    -4
146 |    -3 |     8
147 |   -10 |    -6
148 |   -14 |    15
149 |     4 |   -13
14A |     9 |     5
14B |    12 |    -1
14C |     5 |     7
14D |     0 |    -4
14E |    -4 |   -13
14F |     1 |    -4
150 |    15 |    -7
151 |    -5 |    15
152 |    -8 |    -5
153 |     2 |    10
154 |     0 |    -5
155 |     0 |   -12
156 |     5 |    -4
157 |    10 |    -6
158 |    -4 |    -5
159 |    10 |    -7
15A |   -14 |     7
15B |   -11 |   -15
15C |   -10 |    13
15D |   -16 |    12
15E |   -11 |   -11
15F |    -5 |    15
160 |     0 |    13
161 |    -7 |    13
162 |     0 |   -16
163 |    13 |   -14
164 |   -16 |    -2
165 |     5 |    13
166 |     3 |     8
167 |     4 |     6
168 |     8 |    -8
169 |    -9 |     8
16A |    -7 |    11
16B |     7 |     8
16C |     0 |    -5
16D |    13 |   -12
16E |     6 |     7
16F |   -14 |   -10
170 |   -14 |   -14
171 |    -8 |    13
172 |    -8 |    -9
173 |     5 |    -6
174 |     6 |   -11
175 |   -14 |    -4
176 |    -1 |   -13
177 |     5 |   -11
178 |    -6 |   -10
179 |    10 |    12
17A |     7 |   -15
17B |     9 |   -14
17C |    -3 |    10
17D |   -16 |    10
17E |    11 |   -12
17F |    10 |     5
180 |   -10 |    15
181 |   -14 |   -13
182 |    11 |    -5
183 |    15 |     2
184 |     0 |    -4
185 |   -13 |    10
186 |   -16 |    10
187 |    -2 |    13
188 |   -16 |    15
189 |   -14 |    -1
18A |     1 |     2
18B |    -2 |    12
18C |    12 |   -14
18D |     2 |    -7
18E |    -6 |    10
18F |    -1 |   -13
190 |    -6 |     0
191 |    -1 |    -9
192 |    -4 |    12
193 |   -12 |    15
194 |     0 |   -15
195 |     2 |   -10
196 |   -13 |     9
197 |     8 |    14
198 |    -5 |     1
199 |     5 |    10
19A |    -4 |    -1
19B |     9 |    -4
19C |    15 |    11
19D |     3 |    -9
19E |   -15 |     7
19F |     5 |     9
1A0 |   -13 |    -6
1A1 |     9 |    -2
1A2 |   -14 |    12
1A3 |     0 |    -1
1A4 |   -10 |    15
1A5 |    -5 |    -3
