ROW | DATA_1 | DATA_2
---------------------
000 |     5 |   -11
001 |    13 |    -1
002 |   -15 |    -5
003 |     2 |   -14
004 |    12 |   -12
005 |   -10 |    -9
006 |    12 |    -7
007 |     1 |   -13
008 |    -8 |    -4
009 |    13 |     9
00A |    -8 |    11
00B |   -12 |     3
00C |     4 |    -1
00D |    12 |   -15
00E |    -6 |   -16
00F |    12 |    -5
010 |    -4 |    12
011 |     3 |    11
012 |    12 |   -13
013 |    12 |   -10
014 |     0 |    -5
015 |    -4 |    -4
016 |    -8 |     1
017 |    -2 |     5
018 |     4 |     0
019 |     4 |    -9
01A |    12 |   -13
01B |     9 |   -16
01C |     4 |    -1
01D |    -2 |    -8
01E |     7 |     5
01F |     3 |     9
020 |   -11 |     4
021 |   -11 |    12
022 |   -10 |   -11
023 |    14 |    -8
024 |    10 |     4
025 |     5 |    -1
026 |    10 |   -12
027 |    14 |   -12
028 |     2 |    -6
029 |   -15 |    -8
02A |    -5 |    -9
02B |    10 |    15
02C |     2 |   -12
02D |    -4 |   -14
02E |     0 |    10
02F |     3 |     6
030 |   -15 |    -4
031 |     5 |    -2
032 |    -8 |    -2
033 |     1 |     9
034 |     3 |    -2
035 |    10 |    -4
036 |    12 |    15
037 |   -12 |     6
038 |   -16 |    11
039 |    -1 |    -5
03A |    13 |    13
03B |    -1 |    11
03C |   -11 |    -5
03D |    -6 |    -1
03E |   -14 |    -7
03F |    -4 |    -2
040 |     7 |     0
041 |   -13 |     5
042 |     0 |     8
043 |   -12 |   -12
044 |    11 |   -12
045 |    -8 |     2
046 |    15 |     4
047 |     3 |   -12
048 |     9 |     5
049 |    15 |    11
04A |    13 |    -9
04B |    -6 |   -13
04C |     6 |    11
04D |    -1 |     9
04E |    15 |     9
04F |     5 |    -4
050 |   -13 |    -1
051 |    -7 |    -9
052 |     8 |     7
053 |     5 |     9
054 |   -15 |    10
055 |    -7 |     9
056 |     8 |     8
057 |    -2 |   -11
058 |     0 |   -11
059 |    -6 |    13
05A |    14 |     3
05B |     6 |    10
05C |    10 |    -1
05D |    12 |   -10
05E |    -9 |    14
05F |     3 |     1
060 |   -16 |     4
061 |     7 |    -9
062 |    -5 |     8
063 |     9 |    -1
064 |    -8 |   -16
065 |    -2 |   -11
066 |    -8 |    -5
067 |    10 |    10
068 |    14 |   -12
069 |   -14 |    -4
06A |   -14 |    12
06B |     3 |    -5
06C |    11 |     5
06D |     0 |    -8
06E |   -13 |    14
06F |     2 |     7
070 |    -3 |    -7
071 |   -11 |   -11
072 |     4 |    13
073 |     7 |    12
074 |   -16 |    14
075 |    -3 |    -3
076 |     5 |    14
077 |     3 |     4
078 |    -7 |    10
079 |    -2 |    14
07A |   -15 |   -13
07B |   -14 |     6
07C |   -14 |     6
07D |    11 |    -9
07E |   -12 |    -1
07F |     9 |    -4
080 |     5 |    -5
081 |    -9 |    14
082 |    -9 |    12
083 |    -3 |     2
084 |    15 |    -7
085 |   -12 |    -5
086 |    -9 |     8
087 |   -13 |     1
088 |    -7 |     2
089 |    10 |    -8
08A |    10 |    -4
08B |    15 |    11
08C |     3 |     8
08D |   -12 |    -1
08E |    -5 |   -13
08F |    -6 |    15
090 |   -12 |    -7
091 |    15 |   -11
092 |     9 |    -9
093 |     6 |    11
094 |   -16 |   -10
095 |    -9 |     9
096 |     3 |    -2
097 |    -7 |    11
098 |    -2 |    -7
099 |     1 |   -16
09A |    -4 |     6
09B |     8 |    11
09C |     2 |    -5
09D |    -2 |     2
09E |     7 |    -8
09F |     7 |    -5
0A0 |    -7 |    10
0A1 |    -5 |   -13
0A2 |    -1 |    15
0A3 |     6 |    14
0A4 |    -8 |   -15
0A5 |   -12 |    13
0A6 |   -10 |   -11
0A7 |    -8 |    -8
0A8 |     5 |   -12
0A9 |    -3 |     8
0AA |   -14 |    -9
0AB |     1 |    15
0AC |   -11 |   -11
0AD |    -3 |    14
0AE |   -14 |    15
0AF |     3 |   -12
0B0 |   -14 |     5
0B1 |    -5 |   -11
0B2 |   -14 |    -2
0B3 |   -10 |    -6
0B4 |    12 |     8
0B5 |   -12 |   -10
0B6 |    12 |     8
0B7 |    -9 |    12
0B8 |     9 |     6
0B9 |    -2 |     2
0BA |    12 |    -6
0BB |    12 |     9
0BC |    15 |    10
0BD |   -11 |     1
0BE |    -3 |    -4
0BF |    -5 |     2
0C0 |   -11 |     4
0C1 |     3 |     1
0C2 |     0 |   -16
0C3 |     6 |     2
0C4 |    -5 |     6
0C5 |   -11 |     1
0C6 |    -6 |    -5
0C7 |    -1 |    15
0C8 |    -8 |     7
