ADDR | HEX  |       BINARY       | UNSIGNED |  S10 |  S12 |  S16
------------------------------------------------------------------
000  | 083F | 0000_1000_0011_1111 |     2111 |   63 | -1985 | 2111
001  | 0BFC | 0000_1011_1111_1100 |     3068 |   -4 | -1028 | 3068
002  | 7C45 | 0111_1100_0100_0101 |    31813 |   69 | -955 | 31813
003  | 78C7 | 0111_1000_1100_0111 |    30919 |  199 | -1849 | 30919
004  | 00C3 | 0000_0000_1100_0011 |      195 |  195 |  195 |  195
005  | 7C20 | 0111_1100_0010_0000 |    31776 |   32 | -992 | 31776
006  | 7BE5 | 0111_1011_1110_0101 |    31717 |  -27 | -1051 | 31717
007  | 089D | 0000_1000_1001_1101 |     2205 |  157 | -1891 | 2205
008  | 7B3F | 0111_1011_0011_1111 |    31551 | -193 | -1217 | 31551
009  | 7882 | 0111_1000_1000_0010 |    30850 |  130 | -1918 | 30850
00A  | 781B | 0111_1000_0001_1011 |    30747 |   27 | -2021 | 30747
00B  | 039F | 0000_0011_1001_1111 |      927 |  -97 |  927 |  927
00C  | 7B63 | 0111_1011_0110_0011 |    31587 | -157 | -1181 | 31587
00D  | 00C3 | 0000_0000_1100_0011 |      195 |  195 |  195 |  195
00E  | 08A0 | 0000_1000_1010_0000 |     2208 |  160 | -1888 | 2208
00F  | 03FD | 0000_0011_1111_1101 |     1021 |   -3 | 1021 | 1021
010  | 089C | 0000_1000_1001_1100 |     2204 |  156 | -1892 | 2204
011  | 0B60 | 0000_1011_0110_0000 |     2912 | -160 | -1184 | 2912
012  | 0000 | 0000_0000_0000_0000 |        0 |    0 |    0 |    0
013  | 7FDB | 0111_1111_1101_1011 |    32731 |  -37 |  -37 | 32731
014  | 07BE | 0000_0111_1011_1110 |     1982 |  -66 | 1982 | 1982
015  | 7B9D | 0111_1011_1001_1101 |    31645 |  -99 | -1123 | 31645
016  | 041A | 0000_0100_0001_1010 |     1050 |   26 | 1050 | 1050
017  | 7800 | 0111_1000_0000_0000 |    30720 |    0 | -2048 | 30720
018  | 7884 | 0111_1000_1000_0100 |    30852 |  132 | -1916 | 30852
019  | 0B26 | 0000_1011_0010_0110 |     2854 | -218 | -1242 | 2854
01A  | 783E | 0111_1000_0011_1110 |    30782 |   62 | -1986 | 30782
