ROW | DATA_1 | DATA_2
---------------------
000 |     4 |     3
001 |     3 |    -1
002 |   -12 |    10
003 |    13 |   -16
004 |     2 |    -7
005 |    15 |     4
006 |     5 |    -6
007 |   -14 |    -1
008 |    -9 |    -4
009 |    12 |   -13
00A |     8 |    -8
00B |    13 |    -5
00C |   -14 |     4
00D |     3 |    11
00E |    15 |   -10
00F |    -8 |    -9
010 |     8 |     0
011 |    -9 |     4
012 |    14 |   -11
013 |    -6 |   -15
014 |     9 |   -16
015 |    15 |   -15
016 |     6 |     8
017 |     4 |    -8
018 |   -15 |     6
019 |    -8 |    -1
01A |     6 |     3
01B |     5 |    -1
01C |   -10 |     0
01D |     6 |     1
01E |    10 |    -7
01F |   -13 |   -10
020 |    -1 |    13
021 |     3 |   -10
022 |   -12 |     2
023 |    -9 |    -5
024 |    -6 |   -12
025 |     4 |     7
026 |    13 |     9
027 |    10 |    15
028 |   -15 |    10
029 |   -15 |    15
02A |     8 |    -3
02B |     4 |     8
02C |    15 |    12
02D |    -3 |    -5
02E |    15 |   -16
02F |    -6 |   -14
030 |     7 |     5
031 |    -4 |    14
032 |   -12 |    -6
033 |     2 |    -9
034 |   -13 |   -15
035 |     9 |    -7
036 |   -11 |     7
037 |     5 |    -3
038 |   -12 |     4
039 |    11 |    -2
03A |     6 |    -8
03B |     3 |     1
03C |    11 |    -4
03D |    -4 |     6
03E |     9 |    13
03F |    13 |    11
040 |   -15 |    -4
041 |    15 |    -5
042 |    13 |     1
043 |    11 |   -10
044 |    -4 |    -6
045 |    13 |    15
046 |    -1 |    12
047 |     3 |     1
048 |    10 |   -10
049 |   -12 |    11
04A |    10 |     6
04B |     2 |   -12
04C |     0 |    -6
04D |     9 |     0
04E |    -9 |     2
04F |    -4 |     9
050 |    -1 |    -9
051 |    13 |     4
052 |    11 |    -5
053 |   -14 |    -1
054 |    -6 |    -3
055 |    -8 |     7
056 |     0 |     4
057 |    -5 |   -16
058 |    15 |   -16
059 |   -13 |    -3
05A |     4 |     4
05B |   -12 |   -12
05C |     7 |     2
05D |     9 |    -3
05E |    -1 |     1
05F |    -9 |    10
060 |    15 |     4
061 |    -1 |    -4
062 |     4 |   -13
063 |     8 |    15
064 |    11 |     1
065 |    -7 |    -9
066 |    -5 |    12
067 |     1 |     4
068 |    10 |    -1
069 |   -13 |     2
06A |     7 |   -16
06B |     4 |     2
06C |    14 |     9
06D |     1 |   -14
06E |     7 |   -15
06F |     7 |    14
070 |   -15 |    10
071 |   -13 |     1
072 |     0 |     6
073 |     3 |   -11
074 |    -9 |    15
075 |    12 |     9
076 |   -16 |    13
077 |     0 |    -9
078 |   -11 |   -10
079 |     3 |    -2
07A |    -6 |   -16
07B |     4 |   -10
07C |   -14 |    11
07D |   -11 |    -6
07E |    14 |    -4
07F |     5 |   -16
080 |   -10 |     0
081 |     0 |    -9
082 |     6 |     3
083 |     4 |     0
084 |   -15 |     8
085 |    -5 |    -6
086 |    -8 |    13
087 |     9 |    -8
088 |     3 |    -7
089 |   -11 |    12
08A |    -6 |    -1
08B |    -8 |    15
08C |     4 |     4
08D |    14 |    -2
08E |     0 |     0
08F |     4 |   -11
090 |    -4 |    -1
091 |    10 |   -12
092 |    -5 |    15
093 |     8 |    -3
094 |   -15 |    -3
095 |    -2 |     8
096 |    13 |    15
097 |     0 |     5
098 |   -13 |     4
099 |    11 |    13
09A |    -7 |   -10
09B |     7 |    -2
09C |    -9 |     8
09D |    11 |    -4
09E |    15 |    -4
09F |    -2 |     1
0A0 |    -4 |    -6
0A1 |     2 |   -10
0A2 |     8 |    13
