ROW | DATA_1 | DATA_2
---------------------
000 |    -7 |    10
001 |   -10 |   -16
002 |    15 |   -14
003 |    -4 |   -15
004 |    15 |     7
005 |     0 |     5
006 |   -15 |    11
007 |    11 |     9
008 |     8 |     9
009 |     4 |    11
00A |    12 |     8
00B |   -14 |     9
00C |    -5 |    -6
00D |    -6 |    -2
00E |    11 |    -8
00F |     3 |     9
010 |    15 |    -6
011 |    15 |    -3
012 |    14 |   -11
013 |   -13 |    11
014 |     0 |    -7
015 |     8 |   -11
016 |     2 |   -15
017 |   -13 |    13
018 |   -14 |    -5
019 |     7 |    -2
01A |   -15 |    -4
01B |     8 |     8
01C |    11 |   -13
01D |     6 |   -11
01E |     6 |   -15
01F |    -1 |    -9
020 |    -1 |    -9
021 |   -11 |    -7
022 |     3 |     0
023 |     5 |   -11
024 |   -15 |    15
025 |   -14 |    -3
026 |    11 |   -10
027 |     1 |   -15
028 |    14 |   -12
029 |     4 |   -12
02A |     8 |    10
02B |   -10 |     4
02C |   -10 |    -6
02D |     5 |     3
02E |     5 |    -5
02F |     3 |    -9
030 |    11 |     6
031 |    15 |   -16
032 |    -3 |     0
033 |     0 |    -4
034 |     3 |   -15
035 |    -2 |    -3
036 |   -10 |    -9
037 |     1 |   -15
038 |    14 |    -8
039 |    -3 |   -11
03A |   -12 |     1
03B |     3 |    14
03C |     4 |   -11
03D |    10 |     2
03E |     0 |    15
03F |    -5 |     9
040 |    -5 |     0
041 |    -3 |    -4
042 |     1 |     9
043 |   -13 |     3
044 |     7 |    -3
045 |    -7 |    11
046 |    -7 |    11
047 |    11 |     4
048 |     4 |     8
049 |    -3 |    -4
04A |     1 |     7
04B |    -6 |    12
04C |    -1 |   -14
04D |    -1 |    10
04E |    -7 |     6
04F |   -15 |   -15
050 |     3 |    -5
051 |    15 |    11
052 |    11 |     6
053 |    -4 |   -12
054 |     1 |     7
055 |   -15 |    -7
056 |     1 |    -9
057 |   -14 |     4
058 |   -15 |     5
059 |   -11 |    13
05A |     3 |    -2
05B |    10 |     8
05C |   -11 |    -3
05D |    -8 |   -10
05E |    -9 |   -12
05F |     0 |    11
060 |   -11 |     4
061 |    -9 |    -4
062 |     5 |    15
063 |    -1 |   -14
064 |    -3 |    10
065 |   -10 |    -9
066 |    -3 |    -6
067 |    12 |     8
068 |     0 |   -15
069 |    15 |   -15
06A |    -9 |    13
06B |    11 |    -8
06C |    -1 |   -14
06D |    -7 |     5
06E |    14 |   -12
06F |     3 |   -10
070 |   -14 |     3
071 |    -1 |     4
072 |     8 |     9
073 |     7 |     4
074 |    -1 |   -13
075 |     8 |     3
076 |     9 |    15
077 |     3 |     7
078 |    -1 |   -15
079 |    -3 |   -13
07A |    12 |    -8
07B |    10 |     4
07C |     1 |    -2
07D |    15 |   -11
07E |    10 |     7
07F |    11 |   -13
080 |    -6 |   -14
081 |   -12 |   -13
082 |    10 |   -12
083 |    13 |     5
084 |   -13 |     1
085 |    12 |    -8
086 |   -16 |    -9
087 |    -4 |     4
088 |     4 |    10
089 |    -9 |    -9
08A |    -1 |    14
08B |    10 |     1
08C |    12 |    14
08D |    -8 |   -11
08E |    -5 |     2
08F |     2 |     6
090 |   -11 |    -3
091 |     7 |   -12
092 |     9 |   -13
093 |    -2 |   -16
094 |   -15 |    13
095 |   -11 |    -4
096 |    -4 |   -10
097 |    -6 |    -3
098 |     9 |     3
099 |     0 |    -7
09A |   -11 |    -8
09B |    -6 |     7
09C |   -16 |    12
09D |    13 |     9
09E |    -9 |   -12
09F |    -3 |    11
0A0 |     1 |     3
0A1 |    15 |    -7
0A2 |    -8 |   -10
0A3 |    -3 |    -1
0A4 |     2 |    13
0A5 |    10 |     1
0A6 |    10 |    14
0A7 |   -15 |     6
0A8 |     0 |    -9
0A9 |    12 |     6
0AA |     7 |    -3
0AB |   -11 |     9
