ROW | EXT_1 | EXT_2
-------------------
000 |     8 |     0
002 |     6 |    -3
004 |     7 |     5
006 |     1 |     1
008 |    -1 |     0
00A |    -1 |    -1
00C |     1 |    -1
00E |    -2 |    -1
010 |     0 |     0
012 |     0 |     0
014 |     3 |     1
016 |    -1 |     0
018 |    -2 |    -2
01A |     6 |     0
01C |     6 |    -2
01E |    -3 |     4
020 |     2 |    -2
022 |     5 |    10
024 |   -10 |    -8
026 |     3 |    12
028 |    21 |   -13
02A |    10 |   -13
02C |    13 |    14
02E |    13 |    11
030 |    12 |     6
032 |     0 |     1
034 |     0 |     0
036 |     0 |     1
038 |     1 |     0
03A |     1 |     1
03C |     0 |     0
03E |    -4 |    -3
040 |     7 |     9
042 |    -3 |    -4
044 |     7 |    -5
046 |     1 |    -1
048 |    -2 |     4
04A |     5 |     5
04C |     1 |    -4
04E |    -7 |     3
050 |     7 |    -1
052 |    13 |   -15
054 |   -13 |   -12
056 |     7 |   -17
058 |   -13 |    18
05A |    -6 |   -11
05C |     7 |    -4
05E |    11 |     7
060 |    10 |     9
062 |     3 |     2
064 |     8 |    13
066 |     3 |     0
068 |     7 |     1
06A |     0 |     5
06C |     1 |     7
06E |     7 |     6
070 |     5 |     7
072 |    -3 |     7
074 |     7 |     5
076 |    -3 |    -2
078 |     0 |     2
07A |     3 |     1
07C |     5 |     1
07E |     3 |     4
080 |    -2 |    -4
082 |    -6 |    -3
084 |    -2 |    -2
086 |     0 |    -8
088 |     6 |     4
08A |     2 |     1
08C |     3 |     7
08E |     8 |    -5
090 |    -3 |     1
092 |    -2 |     2
094 |     1 |     1
096 |     0 |    -3
098 |     1 |    -5
09A |     0 |     1
09C |     1 |     0
09E |     0 |     1
0A0 |    -1 |    -1
0A2 |     4 |    -1
0A4 |     2 |     1
0A6 |     4 |     0
0A8 |     2 |     0
0AA |     7 |     3
0AC |     1 |     3
0AE |     1 |     1
0B0 |    -2 |    -3
0B2 |    -3 |    -2
0B4 |    -1 |     2
0B6 |     2 |     1
0B8 |     7 |     8
0BA |     3 |    12
0BC |    -4 |     7
0BE |     5 |     7
0C0 |    -6 |    12
0C2 |    -3 |    -8
0C4 |    -1 |     8
0C6 |     6 |     1
0C8 |    -1 |    -2
0CA |    -1 |    -4
0CC |    12 |     7
0CE |     3 |    -6
0D0 |     5 |    -2
0D2 |     8 |    -3
0D4 |    -3 |     0
0D6 |    -6 |    -6
0D8 |     3 |     1
0DA |    -4 |    -3
0DC |     0 |     7
0DE |    10 |     7
0E0 |     0 |    -3
0E2 |    10 |     9
0E4 |     7 |     2
0E6 |    -5 |    13
0E8 |     6 |    -2
0EA |     5 |    -5
0EC |    -6 |    13
0EE |     5 |    11
0F0 |   -12 |    -2
0F2 |     9 |    12
0F4 |   -11 |   -10
0F6 |   -11 |   -12
0F8 |    14 |   -10
0FA |     7 |   -16
0FC |   -23 |   -19
0FE |    11 |    20
100 |    14 |    18
102 |    17 |   -14
104 |    -7 |    14
106 |   -10 |    -4
108 |    18 |   -12
10A |    19 |   -13
10C |    16 |    14
10E |    10 |   -12
110 |    -9 |   -16
112 |    -1 |     0
114 |    -4 |     1
116 |    -4 |    -2
118 |   -10 |    -2
11A |    -6 |    -7
11C |    -6 |     5
11E |   -13 |   -12
120 |    -2 |     7
122 |    -7 |    -1
124 |     4 |    -4
126 |     4 |     1
128 |     0 |    -5
12A |     6 |    -4
12C |     2 |    -8
12E |     3 |     4
130 |     3 |     6
132 |     6 |     1
134 |     0 |     0
136 |     2 |     7
138 |    -8 |     3
13A |     8 |     2
13C |    -1 |    13
13E |    -9 |    15
140 |    10 |     6
142 |    -6 |    -7
144 |    11 |    -2
146 |    10 |    -8
148 |    -7 |     0
14A |    -9 |    -3
14C |     0 |    -1
14E |    -6 |    -2
150 |     1 |    -5
152 |     5 |     7
154 |    -3 |    -2
156 |    -1 |     0
158 |    -6 |    13
15A |     3 |     1
15C |     4 |     0
15E |     3 |     4
160 |   -13 |    11
162 |    -4 |   -11
164 |   -13 |     9
166 |    18 |   -12
168 |    16 |    20
16A |   -13 |    14
16C |    13 |   -10
16E |   -13 |    -3
170 |    -2 |     9
172 |    -5 |    -6
174 |    -8 |    -7
176 |   -10 |     8
178 |   -14 |    -6
17A |   -10 |    -6
17C |    -1 |    -6
17E |    -6 |     0
180 |     5 |     1
182 |     1 |     1
184 |     1 |     0
186 |    -2 |     2
188 |     2 |     0
18A |     1 |     0
18C |     2 |     3
18E |     0 |    -7
190 |    -3 |     7
192 |    -4 |    -4
194 |    -4 |    -5
196 |    -5 |     8
198 |   -11 |     1
19A |    -6 |    -6
19C |    -4 |    -4
19E |    -5 |     7
1A0 |     7 |     9
1A2 |    11 |     6
1A4 |   -13 |    -3
1A6 |    -6 |     9
1A8 |   -11 |     7
1AA |    -6 |   -10
1AC |    13 |   -17
1AE |    10 |    14
1B0 |   -13 |    13
1B2 |    13 |    12
1B4 |    -9 |    -2
1B6 |    -8 |    -8
1B8 |    -6 |   -14
1BA |   -10 |    17
1BC |    18 |    20
1BE |   -20 |   -20
1C0 |   -19 |    15
1C2 |    25 |    22
1C4 |   -17 |    16
1C6 |   -13 |    10
1C8 |   -10 |    12
1CA |   -11 |     6
1CC |   -13 |    -6
1CE |     5 |     8
1D0 |    10 |   -10
1D2 |    -8 |     9
1D4 |    -9 |     4
1D6 |     5 |     4
1D8 |    -7 |    -6
1DA |    -6 |     7
1DC |     5 |     7
1DE |    -4 |     2
1E0 |     4 |     3
1E2 |    -3 |     5
1E4 |     0 |    -4
1E6 |     2 |     0
1E8 |    -3 |     0
1EA |     0 |     1
1EC |     1 |     1
1EE |     1 |     5
1F0 |     0 |     3
1F2 |     0 |     0
1F4 |     4 |    -1
1F6 |     0 |     0
1F8 |    -2 |    -2
1FA |     1 |     1
1FC |     4 |     1
1FE |     4 |    -3
200 |     0 |     2
202 |    -4 |    -1
204 |    -1 |     0
206 |    -3 |     0
208 |     0 |     1
20A |     2 |     1
20C |     2 |     4
20E |     0 |     1
210 |    -1 |    -2
212 |    -6 |     1
214 |     0 |     1
216 |    -3 |    -8
218 |    -6 |     5
21A |     1 |     1
21C |     1 |    -4
21E |     0 |     1
220 |     0 |     0
222 |    -2 |     1
224 |     4 |     1
226 |    -4 |     0
228 |     1 |     0
22A |    -3 |     1
22C |    -2 |     8
22E |    -2 |     3
230 |    -1 |    -6
232 |     7 |    -5
234 |     1 |     3
236 |     9 |    -3
238 |    -5 |     4
23A |    -6 |     1
23C |     7 |     0
23E |     0 |     4
240 |     1 |    -3
242 |    -2 |    10
244 |     9 |     7
246 |    -7 |     5
248 |    -5 |    -8
24A |     7 |    -9
24C |    -9 |     8
24E |   -11 |    14
250 |    -4 |     6
252 |    -7 |    25
254 |   -10 |   -11
256 |    10 |    -9
258 |    11 |   -13
25A |   -11 |    10
25C |     3 |   -13
25E |     4 |     0
260 |     1 |     0
262 |    -1 |     5
264 |    17 |    13
266 |    18 |   -23
268 |    21 |   -19
26A |    23 |    13
26C |    23 |   -15
26E |   -18 |   -11
270 |    15 |     7
272 |    10 |    10
274 |    -4 |    -3
276 |     4 |     9
278 |    -5 |    -6
27A |     9 |    10
27C |   -17 |    -9
27E |    -9 |   -11
280 |    -8 |     7
282 |    12 |     5
284 |     8 |     4
286 |     1 |    -6
288 |    -6 |     2
28A |    -2 |     7
28C |     5 |    -6
28E |    -4 |   -11
290 |    -7 |    -4
292 |     9 |     9
294 |   -13 |   -16
296 |    14 |   -13
298 |   -12 |    16
29A |   -12 |     5
29C |   -14 |     4
29E |     4 |    -8
2A0 |    -8 |    -7
2A2 |    13 |     5
2A4 |     7 |     8
2A6 |     1 |     7
2A8 |     1 |    13
2AA |    -4 |     6
2AC |     1 |    -5
2AE |    -3 |    -5
2B0 |   -11 |    -1
2B2 |     4 |     9
2B4 |     7 |     6
2B6 |    -1 |     3
2B8 |    -8 |    -5
2BA |     5 |    -1
2BC |     1 |     2
2BE |    -5 |    -3
2C0 |    10 |    -8
2C2 |     8 |     9
2C4 |    -6 |     7
2C6 |    -8 |    13
2C8 |     7 |    -6
2CA |    -7 |    -5
2CC |     8 |     7
2CE |    -6 |    -8
2D0 |    -6 |    -4
2D2 |     1 |    -6
2D4 |     6 |     7
2D6 |    -4 |     3
2D8 |    -5 |     7
2DA |     0 |     7
2DC |     4 |     7
2DE |    -5 |    -6
2E0 |     7 |     1
2E2 |    -4 |    -1
2E4 |     5 |     7
2E6 |    -6 |    -6
2E8 |     4 |     6
2EA |    -9 |    -6
2EC |     9 |     9
2EE |    11 |    -7
2F0 |   -10 |    13
2F2 |     8 |    -6
2F4 |     6 |     7
2F6 |   -13 |    -6
2F8 |    -7 |    -6
2FA |     6 |    -3
2FC |    10 |     0
2FE |     7 |    -6
300 |    -4 |     6
302 |    -5 |    -2
304 |    -1 |    -6
306 |     0 |    -3
308 |    -3 |     1
30A |    -4 |    -2
30C |    -1 |     8
30E |     1 |     2
310 |     1 |     4
312 |     1 |     1
314 |    -2 |    -2
316 |    -2 |     7
318 |     2 |     1
31A |     0 |     0
31C |     3 |    -8
31E |     5 |     2
320 |     0 |     6
322 |     4 |    -6
324 |     6 |    -6
326 |     1 |     7
328 |    -6 |    -8
32A |    12 |     5
32C |    -3 |     8
32E |    -2 |    -6
330 |     7 |   -10
332 |    11 |    -7
334 |    -5 |    12
336 |    10 |    -6
338 |     7 |     0
33A |    -5 |    -6
33C |     4 |    10
33E |   -10 |     8
340 |     8 |    -6
342 |     1 |     5
344 |     1 |     0
