ROW | EXT_1 | EXT_2
-------------------
01C |     1 |     0
01A |    -5 |    -4
018 |    12 |     6
016 |     3 |     2
014 |     3 |     0
012 |     3 |    -2
010 |     8 |     9
00E |     3 |    -4
00C |    10 |     6
00A |    -8 |     0
008 |     1 |     0
006 |    -1 |     0
004 |     8 |    -6
002 |     3 |     4
000 |     1 |     0
03A |     1 |    -6
038 |    -3 |   -13
036 |     1 |    -9
034 |     1 |    -4
032 |    12 |    -7
030 |    21 |     2
02E |    16 |     9
02C |    14 |    11
02A |     8 |    -2
028 |     7 |     0
026 |     5 |     0
024 |     1 |    -6
022 |    10 |     2
020 |     5 |    -6
01E |     5 |    11
058 |    -7 |    -2
056 |    -9 |    13
054 |     0 |     0
052 |    11 |     2
050 |    13 |     0
04E |     7 |     7
04C |     6 |     9
04A |     0 |     7
048 |    -7 |     0
046 |     9 |     2
044 |     6 |    13
042 |   -11 |    13
040 |     0 |     7
03E |     2 |    11
03C |    -2 |     4
076 |    12 |     9
074 |    -6 |   -13
072 |     1 |     0
070 |     1 |     4
06E |     7 |    -4
06C |     5 |    11
06A |    10 |     2
068 |     7 |    11
066 |    -5 |    13
064 |    -5 |    13
062 |     5 |     7
060 |     7 |     0
05E |    -3 |     6
05C |     5 |    -2
05A |    -3 |     6
094 |    -6 |     2
092 |     2 |     6
090 |    -4 |    -9
08E |    -4 |    -4
08C |     7 |     0
08A |     7 |    13
088 |    13 |    11
086 |    -9 |   -20
084 |     0 |     7
082 |    -4 |     0
080 |     2 |    13
07E |    -7 |     6
07C |     0 |     2
07A |     2 |     7
078 |     0 |     2
0B2 |    -2 |     7
0B0 |    -6 |   -12
0AE |    19 |     5
0AC |     2 |    -3
0AA |     4 |    -3
0A8 |     0 |     1
0A6 |     0 |     1
0A4 |     6 |    -3
0A2 |     2 |     7
0A0 |     2 |    -1
09E |    -6 |    -5
09C |    19 |     7
09A |     0 |    -3
098 |     9 |    -3
096 |    -9 |    -8
0D0 |     8 |     0
0CE |     8 |    -4
0CC |     1 |     4
0CA |    -5 |     0
0C8 |    -8 |    -9
0C6 |    -1 |    -2
0C4 |    -3 |     0
0C2 |    -5 |    -2
0C0 |    -1 |    -9
0BE |    10 |     4
0BC |    -5 |    -6
0BA |    14 |     7
0B8 |     3 |    -7
0B6 |     1 |     2
0B4 |    -5 |    -4
0EE |    -3 |    10
0EC |    -3 |    10
0EA |     5 |     3
0E8 |     3 |     3
0E6 |    -3 |     7
0E4 |    -3 |    12
0E2 |     7 |     7
0E0 |     1 |     7
0DE |     1 |     1
0DC |     5 |     1
0DA |     1 |     3
0D8 |     5 |     7
0D6 |   -10 |     1
0D4 |     1 |     5
0D2 |    -3 |    -5
10C |     8 |    13
10A |   -12 |    -2
108 |     7 |    -2
106 |    -8 |     7
