ROW | DATA_1 | DATA_2
---------------------
000 |    -9 |    14
001 |     1 |    14
002 |    -2 |   -11
003 |   -10 |   -14
004 |    11 |    -9
005 |   -15 |    -5
006 |    -3 |    -3
007 |   -15 |    -8
008 |    10 |    11
009 |    12 |    11
00A |   -16 |    -7
00B |    11 |     4
00C |     1 |   -11
00D |    -3 |     9
00E |   -10 |     1
00F |     8 |   -16
010 |     6 |    -9
011 |     0 |    -7
012 |    13 |   -10
013 |     8 |   -10
014 |     2 |     6
015 |    -4 |     0
016 |   -14 |    15
017 |     2 |   -14
018 |    -2 |     1
019 |     8 |    -7
01A |    13 |   -14
01B |    -6 |     5
01C |     6 |   -13
01D |     1 |     1
01E |    -6 |   -15
01F |    -6 |     3
020 |     8 |     1
021 |    -2 |   -10
022 |   -13 |    -8
023 |   -14 |    12
024 |     9 |     1
025 |   -12 |   -11
026 |     4 |    12
027 |    15 |    10
028 |    13 |     7
029 |     0 |    -6
02A |    -1 |     3
02B |    11 |    -8
02C |     7 |    -5
02D |    -8 |    -4
02E |   -11 |    -1
02F |    -9 |    13
030 |    -6 |     7
031 |   -12 |     1
032 |     8 |    13
033 |     0 |    -9
034 |    -9 |    -1
035 |     5 |    15
036 |     2 |    -5
037 |    -6 |     6
038 |   -16 |    -6
039 |    -5 |   -11
03A |     3 |   -15
03B |    -7 |   -13
03C |    -6 |    -3
03D |     4 |    -2
03E |   -15 |     1
03F |     7 |   -15
040 |    -1 |    14
041 |    -1 |    -5
042 |   -11 |    -2
043 |   -12 |     3
044 |    -8 |    11
045 |    -6 |     6
046 |    11 |     0
047 |    -4 |    13
048 |     9 |     9
049 |    12 |   -16
04A |    -9 |     2
04B |    -2 |   -10
04C |     5 |   -12
04D |    -2 |     1
04E |   -16 |     1
04F |   -13 |     3
050 |   -12 |    -7
051 |     5 |   -13
052 |    -1 |     4
053 |    15 |   -15
054 |    -8 |     2
055 |    -1 |    10
056 |    10 |     8
057 |   -10 |    -4
058 |    11 |    -2
059 |    11 |     6
05A |    13 |    -6
05B |   -10 |     2
05C |     9 |    14
05D |   -10 |     0
05E |    -4 |     5
05F |    12 |    -2
060 |    11 |    -2
061 |     1 |    10
062 |    -1 |     7
063 |    12 |     2
064 |   -13 |    -9
065 |   -11 |   -13
066 |    -6 |    14
067 |    15 |    -9
068 |    -3 |     3
069 |   -13 |   -13
06A |     8 |    -8
06B |     8 |     5
06C |    13 |    13
06D |    11 |     4
06E |    -7 |   -11
06F |     2 |     5
070 |   -13 |     4
071 |     4 |   -16
072 |   -13 |     1
073 |    -6 |    -6
074 |   -11 |    15
075 |   -12 |    -8
076 |    -1 |    11
077 |    -9 |    11
078 |   -14 |     8
079 |    10 |   -14
07A |     0 |     7
07B |     4 |     4
07C |     0 |   -15
07D |    -8 |    -1
07E |    13 |     6
07F |   -12 |    -8
080 |    13 |     8
081 |   -12 |    -6
082 |     0 |   -14
083 |     6 |     2
084 |    -1 |     5
085 |     2 |    -8
086 |    12 |    15
087 |   -16 |    -4
088 |   -10 |     9
089 |     0 |    -2
08A |   -10 |    -8
08B |     1 |   -15
08C |    -3 |    -9
08D |    -3 |   -14
08E |    15 |     0
08F |   -13 |   -13
090 |    11 |   -15
091 |   -14 |    -9
092 |     5 |    12
093 |     0 |    -9
094 |    12 |    14
095 |   -16 |    -3
096 |   -12 |     3
097 |   -14 |   -10
098 |    -7 |    -8
099 |    -8 |   -10
09A |     3 |     2
09B |   -14 |   -10
09C |    -3 |    -4
09D |   -10 |     0
09E |    10 |     6
09F |    -1 |     2
0A0 |    -5 |   -14
0A1 |   -15 |    -3
0A2 |     5 |     5
0A3 |    -1 |   -16
0A4 |    -6 |   -11
0A5 |     8 |    15
0A6 |    14 |   -11
0A7 |    -4 |   -10
0A8 |     6 |    -2
0A9 |    -2 |     2
0AA |   -15 |    13
0AB |     9 |   -10
0AC |     1 |   -14
0AD |     1 |     7
0AE |     9 |    11
0AF |   -15 |   -10
0B0 |     0 |   -16
0B1 |     0 |    -6
0B2 |   -10 |     6
0B3 |     6 |     1
0B4 |    11 |     7
0B5 |     8 |    -5
0B6 |     0 |     9
0B7 |    11 |    13
0B8 |    -4 |     8
0B9 |    11 |    10
0BA |     5 |    -9
0BB |    -9 |   -13
0BC |     3 |   -10
0BD |     4 |    14
0BE |     2 |    -5
0BF |    -4 |     6
0C0 |     8 |    -8
0C1 |     3 |    15
0C2 |   -16 |    10
0C3 |     2 |   -14
0C4 |    11 |     0
0C5 |    13 |   -16
0C6 |    12 |     5
0C7 |    14 |    11
0C8 |   -11 |    14
0C9 |     5 |     8
0CA |    -1 |   -13
0CB |    -2 |    -6
0CC |    -7 |    15
0CD |   -14 |   -12
0CE |    14 |     4
0CF |    13 |     5
0D0 |    -4 |   -13
0D1 |    15 |     8
0D2 |    -1 |    -1
0D3 |   -16 |    13
0D4 |    11 |    12
0D5 |    -5 |    15
0D6 |   -13 |     4
0D7 |    -9 |    15
0D8 |    -8 |   -10
0D9 |     4 |    10
0DA |    11 |   -16
0DB |    -6 |     3
0DC |    12 |    13
0DD |    -1 |     7
0DE |    15 |    -2
0DF |     1 |     5
0E0 |   -12 |     7
0E1 |    -1 |    -9
0E2 |     5 |    -2
0E3 |   -11 |     5
0E4 |    -7 |     2
0E5 |     8 |   -10
0E6 |    -3 |    -6
0E7 |    10 |    -8
0E8 |     5 |   -10
0E9 |    10 |    -4
0EA |    -3 |    -9
0EB |     8 |    -3
0EC |     8 |    -4
0ED |   -16 |   -10
0EE |     3 |   -14
0EF |    10 |    12
0F0 |    15 |    -8
0F1 |     1 |   -16
0F2 |    15 |    11
0F3 |     8 |    -5
0F4 |     9 |    -8
0F5 |    13 |     8
0F6 |   -15 |     8
0F7 |   -15 |    -1
0F8 |    11 |     9
0F9 |    13 |     2
0FA |   -13 |    -8
0FB |     8 |    10
0FC |    -3 |     4
0FD |     4 |    -4
0FE |     8 |     2
0FF |    10 |    -8
100 |   -11 |     4
101 |   -15 |     6
102 |     6 |    10
103 |   -12 |    11
104 |   -15 |   -10
105 |    -4 |     8
106 |    -7 |   -13
107 |    -8 |    -4
108 |    -9 |    -6
109 |    13 |     0
10A |     7 |   -13
10B |    -9 |    -3
10C |     3 |     6
10D |   -15 |   -10
10E |     8 |     8
10F |    -4 |     2
110 |    -1 |     8
111 |     3 |    10
112 |   -14 |   -13
113 |    11 |     0
114 |   -12 |    12
115 |   -16 |     7
116 |    15 |    -4
117 |    11 |    12
118 |    13 |   -12
119 |    11 |    -5
11A |     1 |     8
11B |    13 |    11
11C |     1 |     0
11D |    -1 |    -6
11E |     1 |   -16
11F |    -1 |    13
120 |     8 |   -14
121 |   -15 |     4
122 |     4 |     3
123 |    15 |     6
124 |     6 |     4
125 |     5 |    -5
126 |     1 |    -6
127 |    -4 |     9
128 |    -1 |     6
129 |    15 |    -3
12A |    14 |     5
12B |    12 |     2
12C |   -11 |    14
12D |    -2 |    -9
12E |    -1 |    12
12F |     7 |    -1
130 |     6 |     4
131 |     5 |    -9
132 |    13 |     0
133 |     3 |   -15
134 |    -2 |    12
135 |    -4 |   -14
136 |    -9 |    -4
137 |    -4 |   -11
138 |    14 |    -6
139 |     2 |   -12
13A |    -4 |    -3
13B |    -2 |   -10
13C |    -5 |    11
13D |   -16 |    -7
13E |     1 |    13
13F |   -13 |   -14
140 |    -8 |   -12
141 |   -10 |    -5
142 |     2 |   -12
143 |    14 |     0
144 |     5 |     8
145 |   -13 |     9
146 |    14 |     4
147 |   -12 |     8
148 |    15 |   -16
149 |   -13 |   -14
14A |    -7 |     6
14B |   -11 |     2
14C |    -9 |   -11
14D |    -2 |    12
14E |    12 |     9
14F |     3 |    14
150 |     3 |    -2
151 |   -10 |     9
152 |    -3 |    -7
153 |   -11 |     7
154 |    -1 |    -7
155 |   -12 |   -14
156 |   -16 |     9
157 |    12 |     3
158 |     2 |     6
159 |    -2 |    10
15A |     2 |    -6
15B |   -12 |    -2
15C |     0 |    -4
15D |    11 |    -5
15E |    -2 |    13
15F |     1 |     2
160 |   -12 |     0
161 |    -6 |    -4
162 |     2 |     5
163 |    -9 |    -8
164 |     3 |   -10
165 |     1 |   -12
166 |    12 |     4
167 |   -14 |    12
168 |     4 |     3
169 |   -15 |     7
16A |    -2 |    11
16B |     1 |   -16
16C |    -5 |    -1
16D |    12 |    11
16E |    -5 |     7
16F |    15 |     5
170 |    14 |    13
171 |    10 |     6
172 |     4 |    15
173 |    -6 |    -5
174 |    10 |     1
175 |     2 |    -4
176 |   -14 |   -12
177 |   -11 |   -15
178 |     0 |     9
179 |    -9 |   -14
17A |   -16 |    14
17B |    10 |     7
17C |    -4 |    -2
17D |    15 |    -8
17E |   -13 |   -11
17F |     1 |     7
180 |     2 |    -1
181 |    15 |    -8
182 |   -15 |    -6
183 |    -6 |    -7
184 |   -16 |     6
185 |   -11 |    -2
186 |    -9 |    -2
187 |    -9 |     0
188 |    15 |    -2
189 |     1 |    -3
18A |    14 |     8
18B |    -1 |    13
18C |    -7 |   -14
18D |    -4 |   -10
18E |   -12 |     0
18F |    10 |     8
190 |     1 |     7
191 |     2 |     0
192 |    15 |    -2
193 |    12 |     6
194 |     6 |    15
195 |     8 |   -16
196 |     4 |    12
197 |    -1 |    -2
198 |    -2 |     1
199 |   -14 |    -7
19A |    14 |    -6
19B |     8 |    -9
19C |    15 |    10
19D |    -8 |    -9
19E |   -10 |    14
19F |   -10 |    -3
1A0 |   -16 |    10
1A1 |    10 |    -1
1A2 |   -12 |    -8
1A3 |     0 |    -8
1A4 |     9 |    -7
1A5 |     5 |    -6
1A6 |     4 |    -5
1A7 |   -14 |   -15
1A8 |    -1 |   -11
1A9 |    -2 |    12
1AA |    11 |    14
1AB |   -10 |    -2
1AC |    -6 |    -7
1AD |   -15 |     0
1AE |     4 |     5
1AF |     2 |   -12
1B0 |     7 |     8
1B1 |    -7 |    -8
1B2 |    10 |   -15
1B3 |    -6 |    10
1B4 |   -11 |   -10
1B5 |    -1 |    14
1B6 |    -7 |    -9
1B7 |    13 |    14
1B8 |    13 |   -16
1B9 |   -16 |    10
1BA |     2 |   -14
1BB |   -12 |    -2
1BC |     6 |     8
1BD |    11 |   -10
1BE |    13 |    -8
1BF |    -4 |    14
1C0 |    14 |   -11
1C1 |    -1 |    10
1C2 |     6 |    -4
1C3 |     2 |   -16
1C4 |     9 |   -16
1C5 |   -16 |    -3
1C6 |    15 |    10
1C7 |    -2 |   -10
1C8 |    -2 |    11
1C9 |     0 |     0
1CA |   -10 |     7
1CB |     3 |     9
1CC |   -14 |    10
1CD |    -8 |    -5
1CE |     2 |    14
1CF |    10 |     3
1D0 |    -4 |     9
1D1 |     7 |    -9
1D2 |    -6 |    12
1D3 |    14 |   -10
1D4 |     5 |     9
1D5 |    13 |   -13
1D6 |    -7 |     8
1D7 |     9 |   -11
1D8 |   -11 |    14
1D9 |   -16 |   -11
1DA |    -9 |     0
1DB |     7 |     7
1DC |     8 |   -14
1DD |   -10 |     9
1DE |    14 |   -13
1DF |     4 |    15
1E0 |   -12 |   -16
1E1 |     3 |     2
1E2 |    -9 |   -14
1E3 |   -14 |    -6
1E4 |     3 |     7
1E5 |    -9 |   -16
1E6 |    -1 |   -11
1E7 |     8 |     9
1E8 |     7 |     9
1E9 |    -7 |    -4
1EA |   -10 |   -12
1EB |    10 |     2
1EC |   -14 |     6
1ED |    -3 |    -2
1EE |    12 |    13
1EF |     7 |   -16
1F0 |     7 |    -5
1F1 |   -13 |   -10
1F2 |     1 |     2
1F3 |    -9 |    -9
1F4 |   -11 |     0
1F5 |   -15 |     8
1F6 |     5 |    -1
1F7 |    -8 |    13
1F8 |   -12 |   -15
1F9 |    -3 |    -9
1FA |     5 |   -12
1FB |   -16 |    -2
1FC |    -7 |     4
1FD |     0 |     6
1FE |    -9 |     0
1FF |    -8 |     2
200 |     6 |     9
201 |     4 |   -12
202 |    -5 |    14
203 |   -13 |     6
204 |    10 |     1
205 |   -12 |    -4
206 |    12 |    -4
207 |   -10 |    -1
208 |    -2 |    -3
