ROW | DATA_1 | DATA_2
---------------------
000 |    -9 |    14
001 |   -10 |     9
002 |     4 |   -16
003 |    -5 |    15
004 |   -15 |    -7
005 |   -11 |     2
006 |     7 |    13
007 |   -12 |     1
008 |   -15 |     3
009 |    10 |    -8
00A |    14 |     4
00B |    11 |     9
00C |    -8 |     2
00D |     6 |    10
00E |   -10 |   -15
00F |    -3 |    15
010 |     9 |     6
011 |     3 |     4
012 |     8 |    -1
013 |    -2 |    -8
014 |    -4 |    -3
015 |     7 |   -11
016 |    14 |    -6
017 |   -14 |    13
018 |     6 |    -2
019 |     4 |   -11
01A |    -7 |     6
01B |    15 |    -8
01C |     1 |    15
01D |    10 |    -1
01E |    12 |    -4
01F |    14 |   -15
020 |     7 |   -11
021 |   -14 |   -15
022 |    12 |    13
023 |     3 |    12
024 |    -3 |     4
025 |    -4 |   -14
026 |    -7 |   -16
027 |    -9 |     7
028 |   -12 |    -1
029 |   -15 |    -7
02A |   -16 |    -2
02B |   -10 |     9
02C |     9 |   -13
02D |    -2 |   -16
02E |     2 |   -12
02F |    -4 |     3
030 |     3 |    -2
031 |   -14 |     2
032 |     5 |    -4
033 |     2 |    12
034 |   -10 |     3
035 |    -5 |   -12
036 |   -10 |   -12
037 |    -1 |    -5
038 |   -16 |     2
039 |   -14 |   -10
03A |    10 |    -9
03B |    -5 |    11
03C |     9 |    -7
03D |     8 |     5
03E |     6 |   -10
03F |    12 |    -1
040 |     3 |    -9
041 |     1 |    -7
042 |    -6 |    -6
043 |    -3 |   -16
044 |   -11 |     2
045 |    15 |     2
046 |   -13 |    13
047 |    11 |    -1
048 |   -12 |   -15
049 |     6 |    -4
04A |   -13 |    -7
04B |    13 |   -13
04C |     6 |     2
04D |     1 |    -1
04E |    -5 |    10
04F |    10 |    -4
050 |    10 |    14
051 |     1 |    11
052 |    -3 |     8
053 |    -9 |    -7
054 |    -8 |     0
055 |    11 |     0
056 |    -6 |     2
057 |     0 |     0
058 |     3 |    -3
059 |    -3 |    -9
05A |     4 |    -3
05B |    -7 |   -16
05C |    -5 |    -2
05D |     4 |    -9
05E |    15 |   -13
05F |   -16 |    -9
060 |     0 |    14
061 |    12 |   -14
062 |     5 |     4
063 |     8 |   -15
064 |   -10 |     3
065 |     7 |    -7
066 |    -4 |     5
067 |     2 |     0
068 |    -8 |    -7
069 |    -1 |     2
06A |    10 |     1
06B |     7 |    15
06C |    12 |   -14
06D |   -12 |    -2
06E |    14 |    -5
06F |     4 |     6
070 |     8 |    -1
071 |    -5 |   -12
072 |    -6 |   -15
073 |   -16 |    -9
074 |    13 |    11
075 |     9 |     1
076 |   -11 |    12
077 |    14 |     1
078 |     7 |   -12
079 |     4 |     4
07A |    -1 |    -6
07B |     2 |     2
07C |   -10 |     3
07D |    -8 |    11
07E |   -13 |     1
07F |   -11 |    -9
080 |     2 |   -16
081 |    -7 |   -12
082 |    -3 |    -5
083 |    -1 |    10
084 |     9 |     4
085 |    -4 |    10
086 |    -4 |     9
087 |     1 |    -9
088 |   -16 |    13
089 |   -12 |    -8
08A |    12 |     5
08B |     8 |    15
08C |    -3 |     8
08D |     8 |    11
08E |    13 |     7
08F |     2 |    -2
090 |   -11 |   -13
091 |     8 |    -9
092 |   -13 |    -4
093 |   -14 |   -12
094 |   -11 |    11
095 |    13 |   -16
096 |     1 |     8
097 |    -5 |    12
098 |    13 |     7
099 |    -4 |    -6
09A |     5 |   -12
09B |     4 |    -4
09C |   -11 |     1
09D |    -8 |    -1
09E |    -2 |     5
09F |   -16 |     7
0A0 |    14 |     6
0A1 |    -4 |     9
0A2 |    -5 |     7
0A3 |   -15 |     8
0A4 |     0 |   -15
0A5 |    -3 |    -7
0A6 |   -13 |    -8
0A7 |     9 |   -10
0A8 |    11 |    12
0A9 |    -5 |    -6
0AA |    11 |    -9
0AB |   -10 |     9
0AC |    12 |   -11
0AD |     7 |    10
0AE |     6 |    -4
0AF |   -11 |    15
0B0 |    -4 |   -13
0B1 |    -8 |     1
0B2 |     5 |     7
0B3 |     5 |    -6
0B4 |    -9 |     5
0B5 |    -4 |     2
0B6 |     3 |    14
0B7 |   -15 |    -8
0B8 |    -8 |    -1
0B9 |    10 |     3
0BA |    12 |     9
0BB |    13 |     4
0BC |     6 |     4
0BD |   -11 |   -11
0BE |    13 |     8
0BF |    -9 |    -3
0C0 |   -16 |    -6
0C1 |     9 |     0
0C2 |   -14 |    -8
0C3 |     0 |    -4
0C4 |     1 |   -15
0C5 |     7 |    10
0C6 |    12 |   -16
0C7 |   -14 |     2
0C8 |     0 |     9
0C9 |   -15 |     7
0CA |    15 |    12
0CB |    -2 |    -3
0CC |    10 |    10
0CD |    15 |    -5
0CE |    14 |     7
0CF |   -13 |   -13
0D0 |   -14 |   -11
0D1 |     5 |    -8
0D2 |    -7 |     4
0D3 |     2 |    12
0D4 |   -14 |    10
0D5 |     0 |    -9
0D6 |   -16 |    11
0D7 |     7 |    14
0D8 |    15 |    -5
0D9 |    -8 |     8
0DA |    -2 |    -2
0DB |    14 |     4
0DC |    13 |     4
0DD |   -13 |   -14
0DE |     6 |     6
0DF |    -1 |    -7
0E0 |   -10 |     7
0E1 |    -8 |    10
0E2 |    12 |    -1
0E3 |    -8 |   -11
0E4 |    -3 |    -6
0E5 |     3 |   -14
0E6 |    -2 |    -5
0E7 |     3 |    10
0E8 |   -16 |     8
0E9 |   -14 |     5
0EA |    10 |    12
0EB |     7 |    13
0EC |     4 |     2
0ED |    -2 |   -10
0EE |    -6 |   -15
0EF |    -5 |   -12
0F0 |   -15 |    11
0F1 |    -5 |    -2
0F2 |    -7 |   -15
0F3 |   -12 |     1
0F4 |   -10 |    -1
0F5 |     9 |     6
0F6 |    13 |     5
0F7 |    -2 |    11
0F8 |   -12 |   -12
0F9 |     8 |    10
0FA |     8 |    -7
0FB |    -5 |     8
0FC |     2 |    -7
0FD |    -4 |    -7
0FE |    -2 |    14
0FF |   -16 |    10
100 |    -4 |     8
101 |     8 |     8
102 |    13 |     5
103 |     7 |    14
104 |     3 |     5
105 |   -14 |    -6
106 |    -7 |     7
107 |     8 |     7
108 |    -6 |    14
109 |    -5 |     8
10A |    11 |     0
10B |   -16 |    15
10C |     2 |    -4
10D |   -16 |    10
10E |    -4 |    12
10F |    -6 |     0
110 |     3 |    13
111 |     0 |    -6
112 |   -10 |   -13
113 |    -1 |   -11
114 |   -14 |    -7
115 |   -15 |    15
116 |     3 |     2
117 |    -1 |   -11
118 |     4 |    -1
119 |     8 |   -14
11A |    12 |   -13
11B |    -8 |    -1
11C |    -5 |    -7
11D |     3 |    14
11E |     8 |    -4
11F |    15 |    -2
120 |   -16 |   -12
121 |    -4 |   -10
122 |     3 |   -14
123 |     0 |     0
124 |   -15 |   -10
125 |   -10 |    -9
126 |    -3 |    -2
127 |     8 |    15
128 |     7 |     4
129 |     8 |   -11
12A |    -4 |     3
12B |    12 |   -14
12C |   -10 |   -11
12D |    10 |     8
12E |     2 |   -12
12F |   -15 |    -4
130 |   -12 |    -7
131 |    -1 |    12
132 |     1 |     4
133 |     5 |    -5
134 |     9 |    11
135 |    -7 |     5
136 |   -11 |     0
137 |    -9 |   -14
138 |   -11 |    -8
139 |     3 |    14
13A |     4 |    12
13B |    -2 |     0
13C |    -6 |   -11
13D |    -8 |    -4
13E |    -4 |    -9
13F |   -14 |    -9
140 |     1 |   -13
141 |   -16 |     2
142 |    -3 |    11
143 |   -13 |    15
144 |     7 |     5
145 |    -8 |     0
146 |   -10 |   -12
147 |     7 |     6
148 |    11 |     9
149 |    -5 |   -11
14A |    -3 |    -3
14B |    -8 |    -5
14C |     2 |    14
14D |   -13 |     3
14E |   -11 |     6
14F |    15 |   -13
150 |    -4 |    -1
151 |    -8 |    13
152 |    12 |     8
153 |     2 |   -14
154 |    -9 |   -11
155 |     8 |   -10
156 |    -6 |    13
157 |    15 |    -8
158 |     4 |    -7
159 |     8 |    -2
15A |     5 |    15
15B |    -2 |     4
15C |    12 |   -16
15D |    -8 |    11
15E |    -8 |   -10
15F |    -8 |    -5
160 |   -16 |    10
161 |    -9 |    15
162 |    11 |     9
163 |    -7 |    10
164 |    11 |    -7
165 |   -10 |    -5
166 |   -14 |     6
167 |   -14 |    -9
168 |    -3 |    -1
169 |    -4 |   -16
16A |    -6 |    -2
16B |    15 |    -9
16C |   -11 |     0
16D |    -9 |   -13
16E |    10 |     6
16F |    -3 |    -1
170 |    -9 |     6
171 |    10 |    -8
172 |     3 |   -12
173 |   -10 |     8
174 |    11 |   -11
175 |   -10 |     7
176 |    15 |   -15
177 |   -10 |     1
178 |     0 |     7
179 |     2 |    -4
17A |     9 |   -16
17B |    -6 |     3
17C |    -9 |   -13
17D |    -1 |     8
17E |    -4 |     3
17F |     2 |   -12
180 |    -3 |   -14
181 |   -13 |    -6
182 |     2 |   -11
183 |    -6 |    -7
184 |    12 |   -16
185 |    -9 |    -8
186 |    14 |    11
187 |   -11 |    -3
188 |     8 |    -4
189 |    10 |    -8
18A |     0 |    -7
18B |   -10 |    -4
18C |   -11 |   -10
18D |   -11 |     4
18E |    -5 |     2
18F |     6 |     1
190 |     7 |    -3
191 |    14 |    13
192 |     0 |    -9
193 |    10 |   -15
194 |     6 |     3
195 |     8 |   -16
196 |    13 |   -14
197 |     3 |     2
198 |   -11 |     9
199 |    -3 |   -15
19A |   -12 |   -11
19B |   -13 |     6
19C |     0 |    -4
19D |    14 |   -10
19E |   -11 |    11
19F |   -13 |    14
1A0 |     0 |   -12
1A1 |    15 |    10
1A2 |    -7 |   -11
1A3 |     5 |     8
1A4 |     6 |     9
1A5 |   -11 |    -5
1A6 |    10 |     1
1A7 |   -13 |     5
1A8 |     5 |    -6
1A9 |     3 |    -4
1AA |    -7 |    11
1AB |     2 |     2
1AC |   -10 |   -11
1AD |     4 |     4
1AE |   -16 |    10
1AF |    11 |   -13
1B0 |   -10 |     8
1B1 |    -6 |   -12
1B2 |     9 |     3
1B3 |     8 |    15
1B4 |    10 |   -12
1B5 |    12 |   -12
1B6 |   -13 |     8
1B7 |   -10 |     2
1B8 |    -3 |    -2
1B9 |    13 |     5
1BA |    15 |    -4
1BB |    11 |    15
1BC |     9 |     1
1BD |    11 |    13
1BE |     6 |    -3
1BF |     2 |    13
1C0 |    12 |   -14
1C1 |    11 |    -4
1C2 |    -7 |     7
1C3 |    -1 |    11
1C4 |     1 |     5
1C5 |     6 |    15
1C6 |    -2 |    11
1C7 |    -9 |   -15
1C8 |   -14 |     8
1C9 |   -16 |   -12
1CA |    -4 |     8
1CB |    -2 |    12
1CC |   -15 |   -10
1CD |    10 |    10
1CE |    10 |     1
1CF |     5 |    12
1D0 |    -5 |    -8
1D1 |   -11 |   -15
1D2 |    13 |    -8
1D3 |    -5 |    10
1D4 |    -7 |    15
1D5 |    -9 |     2
1D6 |   -10 |    10
1D7 |    -1 |    10
1D8 |    -8 |    -6
1D9 |    10 |    -3
1DA |    -4 |    14
1DB |     4 |     3
1DC |    14 |     3
1DD |     9 |     3
1DE |     8 |     9
1DF |     9 |    13
1E0 |     8 |   -14
1E1 |   -13 |    14
1E2 |    -1 |   -11
1E3 |   -15 |     8
1E4 |     7 |    13
1E5 |    -3 |     6
1E6 |    13 |   -10
1E7 |     0 |    -7
1E8 |    14 |     3
1E9 |   -11 |    14
1EA |    13 |    -8
1EB |    -5 |    11
1EC |    10 |     1
1ED |    -7 |   -13
1EE |   -14 |     0
1EF |    10 |     4
1F0 |     1 |   -15
1F1 |     1 |    -1
1F2 |    15 |     8
1F3 |   -13 |   -11
1F4 |   -16 |    14
1F5 |    -1 |    12
1F6 |    -1 |   -12
1F7 |     5 |    -9
1F8 |    -2 |    11
1F9 |   -13 |   -13
1FA |     4 |   -13
1FB |     2 |     1
1FC |    10 |    -2
1FD |     4 |     3
1FE |    12 |     7
1FF |    11 |    10
200 |    13 |     7
201 |   -15 |     7
202 |    10 |   -11
203 |   -16 |    10
204 |     7 |     7
205 |   -11 |     5
206 |     5 |    14
207 |     4 |     8
208 |    -6 |   -16
