ROW | DATA_1 | DATA_2
---------------------
000 |   -15 |    -1
001 |    -1 |     3
002 |    -8 |     9
003 |   -11 |    -7
004 |   -14 |    12
005 |   -11 |    -6
006 |    -2 |    -4
007 |    -4 |   -14
008 |    -2 |   -11
009 |     1 |    -4
00A |    -6 |     0
00B |     5 |   -12
00C |    -7 |     8
00D |     5 |     4
00E |   -11 |    13
00F |   -10 |    10
010 |     6 |    10
011 |   -14 |    -7
012 |    -9 |   -10
013 |   -11 |     2
014 |     7 |    10
015 |   -12 |     8
016 |    -2 |    14
017 |   -11 |    -5
018 |   -10 |     9
019 |     1 |     9
01A |     7 |     9
01B |     7 |    -1
01C |    -3 |    14
01D |   -12 |     7
01E |    -1 |     5
01F |    13 |     3
020 |     1 |    15
021 |     4 |    -2
022 |    -2 |     3
023 |     4 |     4
024 |     1 |    10
025 |    -3 |    -4
026 |    -3 |    -3
027 |     9 |    15
028 |    -7 |   -13
029 |    -8 |   -12
02A |     0 |     9
02B |     9 |   -15
02C |    -2 |    -4
02D |    15 |   -13
02E |   -13 |   -14
02F |    -7 |   -13
030 |    11 |    -4
031 |     8 |     7
032 |    13 |     9
033 |   -16 |   -15
034 |     1 |     7
035 |    -9 |    12
036 |    11 |    14
037 |    13 |     6
038 |     0 |     0
039 |   -10 |     2
03A |    -4 |     8
03B |     7 |    -6
03C |   -16 |    -2
03D |    15 |    -3
03E |    -9 |    10
03F |     3 |   -16
040 |   -13 |    -8
041 |   -11 |   -16
042 |    15 |     0
043 |    -8 |     1
044 |    14 |     8
045 |     0 |    13
046 |    -3 |    -3
047 |     3 |     3
048 |     7 |   -10
049 |    12 |     7
04A |    -1 |     3
04B |   -12 |    14
04C |   -15 |     5
04D |    -2 |     4
04E |   -12 |     0
04F |    -2 |    -4
050 |   -14 |    -1
051 |   -12 |     9
052 |     1 |    -8
053 |    -3 |    15
054 |    14 |     0
055 |    14 |     9
056 |    -4 |   -14
057 |   -10 |     5
058 |     6 |    14
059 |    10 |     3
05A |   -13 |    -5
05B |   -13 |   -10
05C |     5 |    -8
05D |    -1 |    -5
05E |    -4 |   -11
05F |    -8 |     6
060 |    -5 |     3
061 |    13 |     5
062 |   -12 |     0
063 |   -10 |    13
064 |   -16 |    14
065 |    -1 |   -12
066 |    10 |    -4
067 |    14 |     8
068 |     9 |    10
069 |    -6 |    -7
06A |   -16 |    -4
06B |     0 |    10
06C |     2 |    -7
06D |    15 |    -5
06E |    -4 |    15
06F |    -3 |    -5
070 |   -13 |   -13
071 |   -13 |    12
072 |    14 |    -3
073 |   -13 |    -6
074 |    -5 |   -11
075 |   -12 |    11
076 |     9 |     9
077 |    -1 |    14
078 |   -11 |   -16
079 |     4 |    -4
07A |    -3 |   -16
07B |    -1 |    -4
07C |     9 |   -16
07D |     3 |    -2
07E |     4 |     3
07F |   -16 |   -10
080 |   -10 |     3
081 |    -3 |   -12
082 |    -8 |     3
083 |   -12 |    13
084 |     7 |    11
085 |    -6 |     5
086 |     3 |     6
087 |     3 |    -6
088 |    -8 |   -15
089 |    -9 |    -2
08A |    -7 |    -3
08B |     2 |    -6
08C |     5 |     7
08D |     0 |     8
08E |     0 |   -13
08F |   -11 |   -10
090 |     1 |   -13
091 |   -16 |    10
092 |    -8 |     8
093 |    -6 |     0
094 |    11 |    -7
095 |    -9 |   -16
096 |    -7 |    10
097 |     7 |     1
098 |    11 |    10
099 |   -14 |    -9
09A |     7 |    -9
09B |     6 |    15
09C |    -1 |    -4
09D |     6 |    -4
09E |    -7 |    10
09F |    -6 |    -6
0A0 |    10 |    15
0A1 |    -5 |    14
0A2 |    10 |    -1
0A3 |     1 |   -16
0A4 |   -10 |    -9
0A5 |   -14 |    -7
0A6 |    -2 |   -12
0A7 |    13 |     0
0A8 |     3 |    13
0A9 |    -2 |     0
0AA |    -4 |   -13
0AB |     5 |    -5
0AC |   -12 |     2
0AD |     6 |     4
0AE |     5 |    -9
0AF |    -9 |   -14
0B0 |    -5 |    -8
0B1 |   -14 |     5
0B2 |    11 |    12
0B3 |     4 |   -11
0B4 |    -9 |     5
0B5 |    -4 |    -9
0B6 |   -14 |     9
0B7 |   -16 |     1
0B8 |     7 |    14
0B9 |   -12 |    -6
0BA |     4 |    -8
0BB |     3 |    -6
0BC |    10 |    10
0BD |     9 |    12
0BE |    -8 |     8
0BF |    10 |   -15
0C0 |    -5 |    14
0C1 |     9 |    -9
0C2 |     3 |    12
0C3 |    -3 |   -12
0C4 |     4 |     4
0C5 |    12 |    -2
0C6 |    -3 |   -10
0C7 |    -6 |    -1
0C8 |     2 |     6
0C9 |   -11 |    -7
0CA |     3 |   -16
0CB |    -4 |    14
0CC |   -15 |    -6
0CD |    -1 |    15
0CE |   -12 |    -1
0CF |    10 |     1
0D0 |     8 |    -2
0D1 |     9 |     9
0D2 |    -7 |   -11
0D3 |   -10 |    12
0D4 |    -2 |   -11
0D5 |    13 |    12
0D6 |    -1 |    -9
0D7 |    13 |   -15
0D8 |    13 |     9
0D9 |    12 |   -14
0DA |    12 |   -11
0DB |    14 |    -3
0DC |     0 |     5
0DD |     1 |   -13
0DE |    -1 |    13
0DF |    12 |    14
0E0 |     2 |    12
0E1 |     1 |   -10
0E2 |     4 |   -16
0E3 |    -8 |     6
0E4 |    -2 |     7
0E5 |    -7 |   -14
0E6 |   -12 |    15
0E7 |    10 |    10
0E8 |    13 |     0
0E9 |   -13 |    -4
0EA |    10 |     9
0EB |   -15 |    13
0EC |    14 |     5
0ED |     6 |    10
0EE |     8 |    -9
0EF |    -2 |    13
0F0 |    -2 |    15
0F1 |    11 |   -13
0F2 |   -15 |    14
0F3 |     5 |    -5
0F4 |    -6 |   -10
0F5 |    -8 |     4
0F6 |     9 |    10
0F7 |   -11 |     1
0F8 |    -8 |     5
0F9 |    -5 |    12
0FA |     0 |    -8
0FB |     4 |     3
0FC |    13 |    -3
0FD |     5 |    -3
0FE |     1 |     6
0FF |     0 |    -5
100 |    14 |    -9
101 |   -13 |    14
102 |    -2 |     2
103 |   -14 |   -16
104 |    -1 |   -15
105 |   -15 |    -7
106 |    -1 |   -13
107 |    14 |     1
108 |    -3 |     2
109 |     0 |    -7
10A |    -6 |     2
10B |    -6 |   -14
10C |   -10 |    12
10D |     3 |    -2
10E |     9 |    -1
