ADDR |  SYS |  PAR |  APR
---------------------------
000  |   -1 |   -1 |    0
001  |   -4 |    6 |   -2
002  |    5 |    7 |    0
003  |    7 |    2 |    0
004  |    3 |   -3 |    1
005  |    0 |   -5 |    0
006  |    5 |   -1 |    0
007  |   -3 |    5 |   -2
008  |   -1 |    3 |    1
009  |    2 |    3 |    2
00A  |   -5 |   -6 |   -2
00B  |   -1 |    7 |   -2
00C  |    3 |    4 |    2
00D  |    3 |    1 |    0
00E  |    0 |    2 |   -1
00F  |   -3 |    2 |    1
010  |   -4 |    4 |   -1
011  |    0 |   -7 |    2
012  |    0 |    5 |   -2
013  |   -5 |   -2 |   -2
014  |   -2 |   -1 |    1
015  |   -3 |    6 |   -2
016  |   -6 |    5 |   -2
017  |    0 |    0 |    1
018  |    4 |    2 |    1
019  |    6 |    1 |    2
01A  |   -2 |   -6 |   -2
01B  |   -6 |    3 |   -2
01C  |    4 |    2 |    2
01D  |   -3 |   -6 |    0
01E  |   -7 |   -3 |    0
01F  |    4 |    5 |    0
020  |    2 |   -3 |    2
021  |   -2 |   -2 |   -2
022  |    5 |   -5 |    2
023  |    4 |    0 |    2
024  |    1 |    5 |    0
025  |   -7 |   -7 |   -1
026  |    3 |   -2 |   -2
027  |    3 |   -4 |    0
028  |    7 |   -7 |   -1
029  |    2 |    7 |   -1
02A  |    4 |   -1 |    1
02B  |    4 |    1 |   -2
02C  |    7 |    5 |   -1
02D  |    6 |   -4 |    0
02E  |    6 |   -4 |    1
02F  |    7 |   -2 |   -2
030  |    6 |    4 |    2
031  |   -5 |    7 |    0
032  |    4 |   -5 |   -1
033  |   -1 |    5 |   -1
034  |   -4 |    4 |    0
035  |    1 |   -2 |   -1
036  |   -5 |   -1 |    1
037  |   -3 |    3 |   -2
038  |   -5 |    2 |    1
039  |   -1 |    2 |   -1
03A  |   -3 |   -5 |    2
03B  |    1 |   -1 |   -2
03C  |   -1 |    6 |   -2
03D  |   -6 |   -5 |    0
03E  |   -4 |    5 |    0
03F  |    1 |    5 |    2
040  |    4 |   -6 |   -2
041  |    6 |    4 |    2
042  |   -6 |    6 |    0
043  |    2 |    2 |    0
044  |    1 |   -4 |   -2
045  |    2 |    4 |    1
046  |   -3 |    0 |   -1
047  |   -6 |    5 |    0
048  |   -4 |    7 |    0
049  |    4 |    1 |    1
04A  |    7 |   -1 |    1
04B  |    4 |   -7 |    2
04C  |   -1 |   -5 |    2
04D  |    4 |    5 |   -1
04E  |    5 |    4 |   -1
04F  |    0 |    6 |   -2
050  |    7 |    1 |    2
051  |   -5 |    7 |    0
052  |    6 |    4 |    2
053  |   -7 |   -7 |    0
054  |   -4 |    1 |    1
055  |   -6 |    0 |    2
056  |    0 |   -7 |    1
057  |   -4 |   -2 |   -1
058  |   -6 |   -3 |   -1
059  |    6 |   -2 |   -2
05A  |   -2 |    2 |    2
05B  |   -2 |    4 |    1
05C  |    2 |    5 |    0
05D  |   -4 |    5 |   -1
05E  |   -2 |    5 |   -1
05F  |    5 |    7 |    0
060  |    7 |   -3 |    1
061  |   -6 |   -2 |    1
062  |    2 |   -3 |    2
063  |    4 |    3 |    2
064  |   -6 |    4 |   -2
065  |    2 |   -3 |   -1
066  |    6 |   -4 |    2
067  |   -4 |   -5 |    1
068  |    6 |   -5 |    0
069  |    7 |   -4 |    1
06A  |    7 |    1 |   -1
06B  |    0 |   -6 |    1
06C  |    6 |    7 |   -2
06D  |   -1 |    1 |   -1
06E  |    4 |   -7 |    0
06F  |    1 |    6 |   -2
070  |    6 |    7 |   -1
071  |    0 |    7 |    0
072  |   -3 |   -7 |   -2
073  |    5 |   -3 |   -2
074  |   -6 |   -2 |   -1
075  |    7 |   -2 |    2
076  |   -3 |   -5 |   -2
077  |    0 |   -1 |   -2
078  |    2 |    1 |    0
079  |    1 |    3 |    1
07A  |    4 |    4 |   -1
07B  |    4 |    2 |   -1
07C  |    4 |    0 |    2
07D  |    5 |   -2 |    2
07E  |    1 |    4 |   -1
07F  |    5 |    0 |    2
080  |    7 |    4 |    0
081  |    5 |   -3 |   -1
082  |   -7 |    0 |    2
083  |    1 |    2 |   -1
084  |   -1 |    4 |    1
085  |    1 |   -4 |   -2
086  |    0 |    2 |   -1
087  |   -7 |    0 |   -2
088  |    4 |    2 |    2
089  |    0 |    4 |   -2
08A  |    0 |   -6 |   -1
08B  |    7 |    4 |    1
08C  |    3 |    4 |    2
08D  |   -5 |   -3 |   -1
08E  |   -7 |    1 |    2
08F  |    0 |   -4 |    0
090  |   -5 |    3 |   -2
091  |   -5 |   -2 |    0
092  |   -7 |    7 |   -1
093  |    3 |   -7 |    1
094  |   -3 |    1 |    2
095  |    2 |   -7 |   -2
096  |   -1 |   -3 |    2
097  |    2 |   -4 |   -1
098  |    1 |    5 |    2
099  |    4 |    4 |   -2
09A  |   -1 |    5 |   -1
09B  |    1 |    5 |    2
09C  |    0 |    6 |    1
09D  |    4 |   -5 |   -1
09E  |   -6 |    5 |   -1
09F  |   -7 |   -2 |    1
0A0  |   -1 |   -6 |    0
0A1  |   -1 |   -5 |   -2
0A2  |    6 |   -3 |    0
0A3  |    0 |    7 |    2
0A4  |   -3 |    1 |    1
0A5  |   -5 |   -6 |    0
0A6  |    4 |    2 |   -1
0A7  |    0 |    0 |    2
0A8  |   -2 |    6 |    2
0A9  |    3 |   -6 |    0
0AA  |   -5 |    3 |    0
0AB  |   -7 |    5 |    1
0AC  |   -5 |   -3 |   -2
0AD  |   -3 |   -1 |    0
0AE  |    7 |    0 |    0
0AF  |    6 |   -7 |   -1
0B0  |   -5 |   -2 |    2
0B1  |   -7 |   -7 |   -2
0B2  |   -3 |   -6 |   -1
0B3  |    2 |    7 |    1
0B4  |   -1 |   -7 |    1
0B5  |    7 |    3 |    0
0B6  |    6 |   -3 |    0
0B7  |   -1 |    2 |    1
0B8  |    3 |    7 |    0
0B9  |    1 |    1 |   -2
0BA  |    7 |   -2 |    0
0BB  |    7 |    3 |    2
0BC  |    2 |    3 |    0
0BD  |    2 |   -7 |   -1
0BE  |    4 |    5 |   -2
0BF  |    5 |   -7 |   -1
0C0  |   -5 |   -6 |   -1
0C1  |    7 |    1 |    2
0C2  |   -1 |   -5 |   -2
0C3  |   -7 |    7 |   -2
0C4  |   -4 |   -7 |   -2
0C5  |    5 |   -3 |   -2
0C6  |   -4 |   -1 |   -2
0C7  |    6 |   -2 |    2
0C8  |   -3 |    4 |    0
0C9  |   -1 |   -7 |   -1
0CA  |   -1 |   -3 |   -2
0CB  |    5 |    7 |    0
0CC  |    7 |   -3 |    0
0CD  |    3 |   -2 |   -1
0CE  |    5 |   -5 |    2
0CF  |   -4 |   -3 |    1
0D0  |    5 |   -1 |    1
0D1  |   -1 |   -3 |    0
0D2  |    3 |   -3 |   -1
0D3  |   -5 |   -3 |    1
0D4  |   -2 |    2 |    0
0D5  |    4 |    2 |    2
0D6  |   -6 |   -5 |    1
0D7  |    2 |   -7 |    0
0D8  |    5 |   -3 |    0
0D9  |    6 |    6 |   -2
0DA  |    1 |    1 |    2
0DB  |   -3 |    6 |   -2
0DC  |   -2 |   -7 |   -1
0DD  |    4 |   -5 |   -2
0DE  |    4 |    5 |   -2
0DF  |    4 |    5 |    1
0E0  |    4 |   -4 |    0
0E1  |   -4 |    6 |    2
0E2  |    6 |   -7 |   -2
0E3  |    6 |   -7 |    2
0E4  |    3 |    0 |   -2
0E5  |    2 |   -6 |   -1
0E6  |   -1 |    4 |   -2
0E7  |    4 |    7 |    1
0E8  |    1 |    0 |    0
0E9  |   -1 |   -1 |   -1
0EA  |    6 |    2 |   -2
